@relation bookkeeper_Training_4

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
244,0,0,0,0,0.00,0,0,0,0,21,0.00,0.00,NO
192,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,YES
252,1,1,10,6,6.00,6,2,2,1,41,2.00,0.00,NO
109,0,0,0,0,0.00,0,0,0,0,11,0.00,0.00,NO
601,0,0,0,0,0.00,0,0,0,0,53,0.00,0.00,YES
565,1,1,2,1,1.00,1,0,0,1,117,0.00,0.00,YES
69,0,0,0,0,0.00,0,0,0,0,12,0.00,0.00,NO
77,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
94,0,0,0,0,0.00,0,0,0,0,8,0.00,0.00,YES
337,0,0,0,0,0.00,0,0,0,0,52,0.00,0.00,NO
214,0,0,0,0,0.00,0,0,0,0,13,0.00,0.00,NO
79,0,0,0,0,0.00,0,0,0,0,4,0.00,0.00,NO
25,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
84,0,0,0,0,0.00,0,0,0,0,5,0.00,0.00,NO
34,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
33,0,0,0,0,0.00,0,0,0,0,4,0.00,0.00,NO
104,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
172,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
70,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
140,0,0,0,0,0.00,0,0,0,0,14,0.00,0.00,NO
156,1,1,4,3,3.00,3,2,2,1,13,2.00,0.00,NO
248,0,0,0,0,0.00,0,0,0,0,15,0.00,0.00,NO
277,1,1,4,3,3.00,3,2,2,1,23,2.00,0.00,NO
189,2,2,193,191,95.50,189,189,189,0,8,94.50,34.00,NO
194,2,2,212,203,101.50,118,198,118,0,26,99.00,34.00,NO
346,2,2,204,187,93.50,158,184,158,0,3,92.00,34.00,NO
304,2,2,308,306,153.00,303,304,303,0,46,152.00,34.00,NO
356,2,2,298,15,7.50,10,282,277,1,44,141.00,4.00,YES
84,2,2,11,2,1.00,2,7,5,1,2,3.50,3.00,NO
53,1,1,5,0,0.00,0,5,5,1,1,5.00,0.00,NO
132,0,0,0,0,0.00,0,0,0,0,5,0.00,0.00,NO
4088,0,0,0,0,0.00,0,0,0,0,438,0.00,0.00,NO
691,2,3,196,80,26.67,79,80,77,2,82,26.67,22.50,YES
47,2,2,57,52,26.00,40,47,40,0,2,23.50,34.00,NO
101,1,1,49,0,0.00,0,49,49,1,4,49.00,0.00,NO
510,1,2,9,8,4.00,6,7,5,1,76,3.50,7.00,YES
328,1,1,3,3,3.00,3,3,3,1,34,3.00,0.00,YES
273,0,0,0,0,0.00,0,0,0,0,31,0.00,0.00,YES
136,0,0,0,0,0.00,0,0,0,0,11,0.00,0.00,NO
56,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
74,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
359,1,1,2,2,2.00,2,2,2,0,38,2.00,0.00,YES
174,0,0,0,0,0.00,0,0,0,0,19,0.00,0.00,NO
148,0,0,0,0,0.00,0,0,0,0,11,0.00,0.00,NO
92,0,0,0,0,0.00,0,0,0,0,6,0.00,0.00,NO
45,0,0,0,0,0.00,0,0,0,0,1,0.00,0.00,NO
168,0,0,0,0,0.00,0,0,0,0,24,0.00,0.00,NO
77,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
666,1,1,16,9,9.00,9,2,2,1,88,2.00,0.00,NO
88,0,0,0,0,0.00,0,0,0,0,17,0.00,0.00,NO
262,1,1,6,4,4.00,4,2,2,1,33,2.00,0.00,NO
54,0,0,0,0,0.00,0,0,0,0,6,0.00,0.00,NO
48,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,YES
140,0,0,0,0,0.00,0,0,0,0,10,0.00,0.00,NO
152,0,0,0,0,0.00,0,0,0,0,20,0.00,0.00,NO
39,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
131,0,0,0,0,0.00,0,0,0,0,8,0.00,0.00,NO
47,0,0,0,0,0.00,0,0,0,0,2,0.00,0.00,NO
129,0,0,0,0,0.00,0,0,0,0,13,0.00,0.00,NO
43,0,0,0,0,0.00,0,0,0,0,3,0.00,0.00,NO
243,0,0,0,0,0.00,0,0,0,0,21,0.00,0.00,YES
